MessageId,Type,Content,Timestamp,Username,UserId,SenderType,SenderRole
1,user,msg,2025-02-28T22:12:17.420Z,DM_User,0,,
2,user,mmsfsg,2025-02-28T22:12:18.793Z,DM_User,0,,
3,system,Rolled a d100: 15,2025-02-28T22:12:20.499Z,DM_User,0,,
4,user,cool,2025-02-28T22:12:38.801Z,DM_User,0,,
5,system,Rolled a d8: 3,2025-03-06T13:50:53.465Z,DM_User,0,,
6,system,Rolled a d100: 9,2025-03-06T13:51:31.515Z,DM_User,0,,
7,system,Rolled a d30: 18,2025-03-06T13:51:36.264Z,DM_User,0,,
8,user,Rolled a d30: 3,2025-03-06T13:53:10.467Z,DM_User,0,,
9,user,Rolled a d20: 11,2025-03-06T13:53:11.128Z,DM_User,0,,
10,user,Rolled a d12: 5,2025-03-06T13:53:11.702Z,DM_User,0,,
11,user,Rolled a d100: 57,2025-03-06T13:53:04.259Z,DM_User,0,,
12,user,Rolled a d30: 8,2025-03-06T13:53:09.326Z,DM_User,0,,
13,user,Rolled a d30: 30,2025-03-06T13:53:07.394Z,DM_User,0,,
14,user,1d30: <strong>24</strong>,2025-03-06T13:55:15.021Z,DM_User,0,,
15,user,1d20: <strong>17</strong>,2025-03-06T13:55:19.528Z,DM_User,0,,
16,user,1d12: <strong>10</strong>,2025-03-06T13:55:25.919Z,DM_User,0,,
17,user,1d10: <strong>6</strong>,2025-03-06T13:55:27.232Z,DM_User,0,,
18,user,1d8: <strong>5</strong>,2025-03-06T13:55:28.535Z,DM_User,0,,
19,user,2d4: <strong>4</strong>,2025-03-06T13:58:24.232Z,DM_User,0,,
20,user,2d4: <strong>7</strong>,2025-03-06T13:58:29.453Z,DM_User,0,,
21,user,2d8: <strong>5</strong>,2025-03-06T13:58:38.042Z,DM_User,0,,
22,user,1d4: <strong>4</strong>,2025-03-06T14:00:37.299Z,DM_User,0,,
23,user,"2d6: <strong>8</strong> (4, 4)",2025-03-06T14:00:45.789Z,DM_User,0,,
24,user,"3d12: <strong>11</strong> (1, 8, 2)",2025-03-06T14:00:53.922Z,DM_User,0,,
25,user,1d10: <strong>9</strong>,2025-03-06T14:01:20.774Z,DM_User,0,,
26,user,1d20: <strong>6</strong>,2025-03-06T14:03:06.341Z,DM_User,0,,
27,user,1d30: <strong>7</strong>,2025-03-06T14:03:07.713Z,DM_User,0,,
28,user,1d100: <strong>57</strong>,2025-03-06T14:03:09.287Z,DM_User,0,,
29,user,1d8: <strong>6</strong>,2025-03-06T14:03:21.526Z,DM_User,0,,
30,user,1d12: <strong>1</strong>,2025-03-06T14:03:22.800Z,DM_User,0,,
31,user,cool,2025-03-06T15:38:42.296Z,DM_User,0,,
32,user,message,2025-03-07T09:55:19.908Z,DM_User,0,,
